#sample	 RC_RC_0
#d(mm)	 1.0
#D(mm)	 1.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 4
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 64 
#notes	 R4,7kOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 1795.22099996
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
4.0000e+01	4.6568e+03	-8.0054e+00	1.7111e+07	1.2167e+08
4.1514e+01	4.6532e+03	-7.9631e+00	1.6413e+07	1.1734e+08
4.3086e+01	4.6489e+03	-7.9362e+00	1.5776e+07	1.1317e+08
4.4717e+01	4.6449e+03	-7.9188e+00	1.5180e+07	1.0914e+08
4.6410e+01	4.6410e+03	-7.9068e+00	1.4617e+07	1.0525e+08
4.8167e+01	4.6375e+03	-7.9065e+00	1.4094e+07	1.0148e+08
4.9991e+01	4.6341e+03	-7.9213e+00	1.3615e+07	9.7849e+07
5.1884e+01	4.6308e+03	-7.9442e+00	1.3165e+07	9.4341e+07
5.3848e+01	4.6275e+03	-7.9749e+00	1.2743e+07	9.0958e+07
5.5887e+01	4.6244e+03	-8.0157e+00	1.2349e+07	8.7690e+07
5.8003e+01	4.6211e+03	-8.0703e+00	1.1987e+07	8.4540e+07
6.0198e+01	4.6180e+03	-8.1384e+00	1.1655e+07	8.1498e+07
6.2478e+01	4.6148e+03	-8.2136e+00	1.1340e+07	7.8564e+07
6.4843e+01	4.6117e+03	-8.2971e+00	1.1044e+07	7.5734e+07
6.7298e+01	4.6086e+03	-8.3904e+00	1.0768e+07	7.3003e+07
6.9846e+01	4.6056e+03	-8.4941e+00	1.0509e+07	7.0366e+07
7.2490e+01	4.6024e+03	-8.6090e+00	1.0269e+07	6.7826e+07
7.5235e+01	4.5991e+03	-8.7347e+00	1.0045e+07	6.5376e+07
7.8083e+01	4.5959e+03	-8.8794e+00	9.8440e+06	6.3011e+07
8.1039e+01	4.5925e+03	-9.0344e+00	9.6564e+06	6.0732e+07
8.4107e+01	4.5891e+03	-9.1961e+00	9.4763e+06	5.8534e+07
8.7292e+01	4.5853e+03	-9.3683e+00	9.3076e+06	5.6417e+07
9.0596e+01	4.5815e+03	-9.5541e+00	9.1520e+06	5.4375e+07
9.4026e+01	4.5777e+03	-9.7537e+00	9.0081e+06	5.2404e+07
9.7586e+01	4.5736e+03	-9.9698e+00	8.8778e+06	5.0504e+07
1.0128e+02	4.5694e+03	-1.0195e+01	8.7530e+06	4.8672e+07
1.0511e+02	4.5648e+03	-1.0432e+01	8.6365e+06	4.6909e+07
1.0910e+02	4.5601e+03	-1.0684e+01	8.5288e+06	4.5208e+07
1.1322e+02	4.5550e+03	-1.0949e+01	8.4283e+06	4.3568e+07
