#sample	 RCRC_1
#d(mm)	 1.978
#D(mm)	 6.506
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 3
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 32 
#notes	 R4.7kOhms_C47nF_R4.7kOhms_C1pF
#time_of_analysis	 482.128999949
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
4.0000e+01	9.2201e+03	-1.6975e+00	8.5904e+04	2.8986e+06
4.1514e+01	9.2200e+03	-1.7548e+00	8.5562e+04	2.7929e+06
4.3086e+01	9.2188e+03	-1.8237e+00	8.5690e+04	2.6912e+06
4.4717e+01	9.2175e+03	-1.8928e+00	8.5705e+04	2.5933e+06
4.6410e+01	9.2159e+03	-1.9600e+00	8.5522e+04	2.4991e+06
4.8167e+01	9.2145e+03	-2.0320e+00	8.5443e+04	2.4082e+06
4.9991e+01	9.2130e+03	-2.1107e+00	8.5526e+04	2.3206e+06
5.1884e+01	9.2116e+03	-2.1919e+00	8.5585e+04	2.2361e+06
5.3848e+01	9.2102e+03	-2.2713e+00	8.5462e+04	2.1548e+06
5.5887e+01	9.2088e+03	-2.3562e+00	8.5434e+04	2.0763e+06
5.8003e+01	9.2069e+03	-2.4460e+00	8.5471e+04	2.0009e+06
6.0198e+01	9.2045e+03	-2.5421e+00	8.5608e+04	1.9283e+06
6.2478e+01	9.2023e+03	-2.6370e+00	8.5583e+04	1.8582e+06
6.4843e+01	9.1999e+03	-2.7351e+00	8.5552e+04	1.7908e+06
6.7298e+01	9.1975e+03	-2.8339e+00	8.5426e+04	1.7257e+06
6.9846e+01	9.1951e+03	-2.9373e+00	8.5333e+04	1.6631e+06
7.2490e+01	9.1926e+03	-3.0441e+00	8.5231e+04	1.6027e+06
7.5235e+01	9.1896e+03	-3.1570e+00	8.5192e+04	1.5446e+06
7.8083e+01	9.1866e+03	-3.2778e+00	8.5249e+04	1.4885e+06
8.1039e+01	9.1830e+03	-3.4016e+00	8.5272e+04	1.4346e+06
8.4107e+01	9.1792e+03	-3.5281e+00	8.5248e+04	1.3827e+06
8.7292e+01	9.1750e+03	-3.6554e+00	8.5136e+04	1.3326e+06
9.0596e+01	9.1707e+03	-3.7862e+00	8.5003e+04	1.2845e+06
9.4026e+01	9.1661e+03	-3.9266e+00	8.4978e+04	1.2380e+06
9.7586e+01	9.1611e+03	-4.0732e+00	8.4975e+04	1.1933e+06
1.0128e+02	9.1556e+03	-4.2210e+00	8.4892e+04	1.1502e+06
1.0511e+02	9.1494e+03	-4.3767e+00	8.4863e+04	1.1088e+06
