#sample	 RC_RC_1
#d(mm)	 17.0
#D(mm)	 321.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 2
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 2 
#notes	 RkOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 33.5469999313
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
4.0000e+01	1.1154e+10	-3.0201e+01	4.2574e-03	7.3146e-03
4.1514e+01	3.1216e+09	-1.0838e+02	2.7650e-02	-9.1889e-03
4.3086e+01	3.7803e+09	-9.6113e+01	2.3051e-02	-2.4687e-03
4.4717e+01	2.6079e+09	-6.8554e+01	3.0137e-02	1.1838e-02
4.6410e+01	3.3636e+09	-9.7639e+01	2.3974e-02	-3.2153e-03
4.8167e+01	3.5413e+09	-9.7679e+01	2.1938e-02	-2.9579e-03
4.9991e+01	4.5599e+09	-7.4091e+01	1.5930e-02	4.5404e-03
5.1884e+01	2.4763e+09	-9.1050e+01	2.9384e-02	-5.3848e-04
5.3848e+01	3.4045e+09	-9.3324e+01	2.0562e-02	-1.1942e-03
5.5887e+01	3.5483e+09	-8.7812e+01	1.9027e-02	7.2686e-04
5.8003e+01	2.6191e+09	-9.4937e+01	2.4763e-02	-2.1390e-03
6.0198e+01	2.1599e+09	-8.4725e+01	2.8917e-02	2.6697e-03
6.2478e+01	2.2889e+09	-1.0299e+02	2.5728e-02	-5.9349e-03
6.4843e+01	2.2865e+09	-7.4734e+01	2.4569e-02	6.7056e-03
6.7298e+01	2.4636e+09	-7.7598e+01	2.2243e-02	4.8912e-03
6.9846e+01	2.5996e+09	-8.7947e+01	2.0782e-02	7.4498e-04
7.2490e+01	2.0970e+09	-9.4435e+01	2.4765e-02	-1.9206e-03
7.5235e+01	2.1836e+09	-8.5210e+01	2.2904e-02	1.9192e-03
7.8083e+01	1.4444e+09	-9.3707e+01	3.3409e-02	-2.1648e-03
8.1039e+01	1.6082e+09	-9.0496e+01	2.8971e-02	-2.5103e-04
8.4107e+01	1.5642e+09	-8.5296e+01	2.8604e-02	2.3537e-03
8.7292e+01	1.5119e+09	-6.5134e+01	2.5958e-02	1.2031e-02
9.0596e+01	1.5394e+09	-8.3913e+01	2.6922e-02	2.8711e-03
9.4026e+01	1.7045e+09	-8.5650e+01	2.3492e-02	1.7870e-03
9.7586e+01	1.7029e+09	-9.0923e+01	2.2719e-02	-3.6588e-04
1.0128e+02	1.7819e+09	-8.3945e+01	2.0805e-02	2.2068e-03
1.0511e+02	1.4541e+09	-8.7572e+01	2.4681e-02	1.0464e-03
1.0910e+02	1.3908e+09	-8.9644e+01	2.4886e-02	1.5480e-04
1.1322e+02	1.6266e+09	-9.5682e+01	2.0402e-02	-2.0298e-03
1.1751e+02	1.7181e+09	-9.3391e+01	1.8669e-02	-1.1063e-03
1.2196e+02	1.2875e+09	-9.3675e+01	2.3996e-02	-1.5414e-03
1.2658e+02	1.2485e+09	-9.7370e+01	2.3695e-02	-3.0650e-03
1.3137e+02	1.2317e+09	-8.9411e+01	2.3335e-02	2.3978e-04
1.3634e+02	1.0935e+09	-9.1029e+01	2.5321e-02	-4.5484e-04
1.4151e+02	1.1142e+09	-9.3017e+01	2.3916e-02	-1.2606e-03
1.4686e+02	1.2196e+09	-9.2435e+01	2.1063e-02	-8.9564e-04
1.5242e+02	9.2637e+08	-9.1160e+01	2.6736e-02	-5.4147e-04
1.5819e+02	1.3827e+09	-8.4515e+01	1.7183e-02	1.6499e-03
1.6418e+02	1.0362e+09	-9.6173e+01	2.2067e-02	-2.3866e-03
1.7040e+02	1.3245e+09	-9.0100e+01	1.6730e-02	-2.9092e-05
1.7685e+02	9.2228e+08	-9.3338e+01	2.3111e-02	-1.3479e-03
1.8355e+02	1.0637e+09	-1.0127e+02	1.8967e-02	-3.7794e-03
1.9049e+02	8.5308e+08	-8.6781e+01	2.3198e-02	1.3049e-03
1.9771e+02	8.1145e+08	-9.0665e+01	2.3534e-02	-2.7303e-04
2.0519e+02	9.2938e+08	-9.3339e+01	1.9766e-02	-1.1533e-03
2.1296e+02	7.0305e+08	-8.7589e+01	2.5197e-02	1.0609e-03
2.2102e+02	7.5709e+08	-9.3102e+01	2.2532e-02	-1.2212e-03
2.2939e+02	6.9260e+08	-9.4944e+01	2.3678e-02	-2.0484e-03
2.3808e+02	6.6427e+08	-9.0001e+01	2.3876e-02	-2.1937e-07
2.4709e+02	6.4391e+08	-8.7073e+01	2.3701e-02	1.2120e-03
2.5645e+02	5.9556e+08	-8.9800e+01	2.4723e-02	8.6127e-05
2.6615e+02	5.9685e+08	-8.5829e+01	2.3707e-02	1.7289e-03
2.7623e+02	5.7262e+08	-9.0432e+01	2.3871e-02	-1.8017e-04
2.8669e+02	5.1495e+08	-9.5568e+01	2.5456e-02	-2.4815e-03
2.9754e+02	5.3818e+08	-8.8414e+01	2.3571e-02	6.5261e-04
3.0881e+02	5.3231e+08	-9.0943e+01	2.2967e-02	-3.7803e-04
3.2050e+02	5.0720e+08	-1.0106e+02	2.2797e-02	-4.4550e-03
3.3263e+02	4.8051e+08	-9.1990e+01	2.3610e-02	-8.2053e-04
3.4523e+02	4.5933e+08	-1.0269e+02	2.3230e-02	-5.2324e-03
3.5830e+02	4.4198e+08	-9.8375e+01	2.3590e-02	-3.4728e-03
3.7186e+02	4.3858e+08	-9.7024e+01	2.2979e-02	-2.8311e-03
3.8594e+02	3.7693e+08	-9.3353e+01	2.5911e-02	-1.5182e-03
4.0055e+02	3.7589e+08	-8.9851e+01	2.5079e-02	6.5112e-05
4.1572e+02	3.8646e+08	-9.2830e+01	2.3474e-02	-1.1604e-03
4.3145e+02	3.7393e+08	-9.0382e+01	2.3404e-02	-1.5612e-04
4.4779e+02	3.7083e+08	-8.9314e+01	2.2737e-02	2.7218e-04
4.6474e+02	3.3764e+08	-9.0358e+01	2.4063e-02	-1.5044e-04
4.8234e+02	3.2524e+08	-8.9409e+01	2.4068e-02	2.4847e-04
5.0060e+02	3.1640e+08	-8.6579e+01	2.3797e-02	1.4224e-03
5.1955e+02	2.8986e+08	-8.8939e+01	2.5069e-02	4.6431e-04
5.3922e+02	2.8894e+08	-8.9844e+01	2.4235e-02	6.6129e-05
5.5964e+02	2.8841e+08	-8.9582e+01	2.3394e-02	1.7078e-04
5.8082e+02	2.6324e+08	-9.1934e+01	2.4682e-02	-8.3327e-04
6.0281e+02	2.5600e+08	-8.9230e+01	2.4466e-02	3.2890e-04
